EMPATIA SLOVENIA (Pn= 246)  (In= 80) No Selection 4-18-2019 15-45
Item N, paticipant N, max per particpant N
80,246,0,
variables
importance,zelo nepomembno,nepomembno,delno pomembno,pomembno,zelo pomembno,




item number,item text
1,"1.Zmožnost športnika, da v okviru DK učinkovito upravlja s časom (šola, študij, šport)"
2,"2.Znanje rabe tehnologije/družbenih medijev S/S za dostop do relevantnih izobraževalnih informacij"
3,"3.Ponudniki podpore za DK v vsaki športni zvezi"
4,"4.Sodelovanje med športnimi (klub, zveza) in izobraževalnimi sektorji pri potrebah DK"
5,"5.Informacije o kakovosti šol iz izobraževalne perspektive"
6,"6.Informacije za S/S o prehranskih potrebah športnika in razpoložljivi podpori"
7,"7.Temeljno znanje S/S o različnih vidikih/zahtevah športa"
8,"8.Stalna evalvacija športnikovega življenjskega stila"
9,"9.Podpora/smernice za S/S in športnika o preprečevanju/reševanju sporov s športnim okoljem"
10,"10.Komunikacijske veščine/poti za S/S za pomoč pri športnikovi izobraževalni karieri"
11,"11.Stalna evalvacija športnikovega duševnega zdravja in dobrega počutja"
12,"12.Znanje o tem, kako in kdaj se lahko S/S pridruži športniku na treningu/tekmovanju"
13,"13.Partnerstva med športnimi in izobraževalnimi institucijami za podpiranje DK"
14,"14.Razumevanje vloge S/S pri podpiranju športnika"
15,"15.Večja ozaveščenost o potrebah in okoliščinah športnika v izobraževalnem okolju"
16,"16.Priznavanje predhodnih učnih uspehov in športnih izkušenj pri izobraževanju"
17,"17.Poznavanje in primeri najboljših nacionalnih in mednarodnih praks DK"
18,"18.Izobraževalna brošura o DK za S/S, ki vključuje pravila, priložnosti, storitve itd"
19,"19.Informacije o možnostih prilagajanja izobraževalnega urnika za potrebe športne kariere"
20,"20.Informacije o možnostih prilagajanja športnega urnika za potrebe izobraževalne kariere"
21,"21.Politika, ki podpira športnike ob koncu športne kariere"
22,"22.Mentorstvo za športnika v športnem in izobraževalnem okolju"
23,"23.Pojasnitev vloge S/S v športnem okolju"
24,"24.Nasveti za športnika pri izbiri srednješolskega in univerzitetnega programa"
25,"25.Znanje rabe tehnologije/družbenih medijev S/S za dostop do relevantnih športnih informacij"
26,"26.Oblikovanje seznama DK prijaznih šol in univerz"
27,"27.Športni klubi kot vozlišča deljenja in nadgrajevanja informacij o DK"
28,"28.Informacije za S/S o pomembnosti izobrazbe za priložnosti športnikov v prihodnosti"
29,"29.Podpora/smernice za S/S & športnika o preprečevanju/reševanju konfliktov v izobraževalnem okolju"
30,"30.Določitev realnih in dosegljivih ciljev za S/S in športnike v športnem in izobraževalnem okolju"
